example_id,split_0,split_1,split_2,split_3,split_4
3023,train,valid,train,train,train
3852,train,valid,train,train,train
51,train,train,train,valid,train
7045,valid,train,train,train,train
5562,train,valid,train,train,train
7327,train,valid,train,train,train
9216,train,train,valid,train,train
3016,valid,train,train,train,train
4508,valid,train,train,train,train
8234,train,train,train,valid,train
6877,train,train,train,train,valid
9425,train,valid,train,train,train
1516,valid,train,train,train,train
4608,train,train,train,valid,train
7403,valid,train,train,train,train
3432,train,train,valid,train,train
326,train,valid,train,train,train
588,train,train,train,train,valid
947,train,valid,train,train,train
9203,train,train,train,valid,train
1366,train,train,train,train,valid
3719,train,train,valid,train,train
2740,train,valid,train,train,train
6125,train,train,valid,train,train
7426,valid,train,train,train,train
4403,valid,train,train,train,train
9563,train,valid,train,train,train
4925,train,train,train,valid,train
5430,train,train,valid,train,train
4699,train,train,valid,train,train
9084,train,train,valid,train,train
3425,valid,train,train,train,train
2968,train,train,train,train,valid
8507,train,train,train,valid,train
8516,train,train,valid,train,train
5631,train,valid,train,train,train
8128,train,valid,train,train,train
3328,train,train,train,valid,train
6401,valid,train,train,train,train
1466,train,train,train,train,valid
7895,train,train,valid,train,train
5936,valid,train,train,train,train
5642,train,train,valid,train,train
7464,train,train,train,valid,train
9036,train,train,train,train,valid
3599,train,train,train,valid,train
878,train,train,train,train,valid
4071,train,train,train,train,valid
612,train,train,train,train,valid
8375,train,train,valid,train,train
8783,train,valid,train,train,train
8488,train,train,train,valid,train
9774,valid,train,train,train,train
1520,train,valid,train,train,train
2476,train,train,train,valid,train
1778,train,train,train,valid,train
8203,train,train,train,valid,train
3531,train,valid,train,train,train
5411,valid,train,train,train,train
1454,train,valid,train,train,train
8135,valid,train,train,train,train
9379,train,train,train,train,valid
4634,train,train,train,train,valid
5463,train,valid,train,train,train
9178,train,train,train,valid,train
2794,train,valid,train,train,train
1536,valid,train,train,train,train
3006,train,train,train,valid,train
8424,valid,train,train,train,train
758,train,train,train,valid,train
3847,train,train,train,train,valid
9980,train,train,valid,train,train
8996,train,train,valid,train,train
3226,train,train,valid,train,train
5485,train,train,valid,train,train
3914,valid,train,train,train,train
4625,train,valid,train,train,train
9198,train,train,train,train,valid
2696,train,train,valid,train,train
9446,train,train,train,valid,train
5233,train,valid,train,train,train
2200,train,train,train,train,valid
1272,train,valid,train,train,train
5468,train,train,train,train,valid
4027,train,train,train,train,valid
1401,train,train,train,valid,train
1400,train,train,train,train,valid
8468,valid,train,train,train,train
2782,train,train,valid,train,train
3208,train,train,valid,train,train
7987,valid,train,train,train,train
5989,train,train,train,train,valid
7002,train,valid,train,train,train
9624,train,valid,train,train,train
6790,valid,train,train,train,train
6348,train,train,train,valid,train
5893,train,train,train,train,valid
409,train,train,train,train,valid
3707,train,train,train,valid,train
2162,valid,train,train,train,train
4811,train,train,train,train,valid
6783,train,valid,train,train,train
9595,train,valid,train,train,train
1388,train,valid,train,train,train
6428,valid,train,train,train,train
8881,valid,train,train,train,train
7772,valid,train,train,train,train
7577,train,train,valid,train,train
8875,train,train,train,train,valid
1080,train,train,train,valid,train
7782,train,train,valid,train,train
9082,train,train,train,train,valid
7663,train,valid,train,train,train
6663,train,train,train,train,valid
4109,valid,train,train,train,train
6134,train,train,train,valid,train
9726,train,valid,train,train,train
6308,valid,train,train,train,train
6191,train,train,train,train,valid
1750,train,train,train,valid,train
7214,valid,train,train,train,train
7784,train,valid,train,train,train
7084,train,valid,train,train,train
5962,train,train,valid,train,train
8710,train,valid,train,train,train
9154,train,train,train,valid,train
8576,train,train,train,valid,train
8258,train,train,valid,train,train
3900,train,train,valid,train,train
665,train,train,train,valid,train
6624,train,train,valid,train,train
7655,train,valid,train,train,train
3578,train,valid,train,train,train
1643,valid,train,train,train,train
139,train,valid,train,train,train
881,valid,train,train,train,train
8344,valid,train,train,train,train
960,train,train,train,valid,train
3799,train,train,train,train,valid
2197,valid,train,train,train,train
5066,train,valid,train,train,train
2568,train,train,train,train,valid
5108,train,valid,train,train,train
1271,train,train,train,train,valid
3081,train,train,train,valid,train
36,train,train,train,valid,train
5393,train,valid,train,train,train
6002,train,valid,train,train,train
3170,train,valid,train,train,train
3105,train,train,valid,train,train
7611,train,train,valid,train,train
2631,valid,train,train,train,train
9518,valid,train,train,train,train
7309,train,train,valid,train,train
8003,train,train,valid,train,train
6974,train,train,valid,train,train
8827,valid,train,train,train,train
6226,train,train,train,train,valid
7429,train,train,train,valid,train
8342,train,train,train,valid,train
7933,train,train,train,train,valid
7602,train,train,train,valid,train
5970,valid,train,train,train,train
3515,train,train,valid,train,train
6009,valid,train,train,train,train
7589,train,train,train,train,valid
9127,train,train,train,train,valid
475,train,train,train,valid,train
6837,train,valid,train,train,train
4179,train,train,train,train,valid
9489,train,train,train,train,valid
305,train,train,valid,train,train
4701,train,train,valid,train,train
2297,train,valid,train,train,train
1506,valid,train,train,train,train
722,train,valid,train,train,train
3770,train,train,train,train,valid
666,train,valid,train,train,train
3700,train,train,train,valid,train
6374,train,train,valid,train,train
7866,train,train,train,valid,train
5342,train,valid,train,train,train
1496,train,train,train,train,valid
7094,train,train,valid,train,train
6444,train,train,valid,train,train
2053,train,valid,train,train,train
622,train,train,valid,train,train
1479,train,valid,train,train,train
5746,train,train,valid,train,train
2281,train,train,valid,train,train
9303,train,valid,train,train,train
8908,valid,train,train,train,train
2562,valid,train,train,train,train
676,valid,train,train,train,train
9389,train,train,valid,train,train
8438,valid,train,train,train,train
623,train,train,valid,train,train
1765,train,train,train,train,valid
9725,train,valid,train,train,train
2902,train,train,valid,train,train
7253,train,train,train,train,valid
2877,train,train,train,valid,train
4470,train,train,valid,train,train
365,train,valid,train,train,train
8453,train,train,train,train,valid
4969,train,train,train,train,valid
5542,train,valid,train,train,train
2394,train,train,train,valid,train
4761,valid,train,train,train,train
2497,train,train,train,train,valid
2450,train,valid,train,train,train
9598,train,valid,train,train,train
1685,train,train,train,train,valid
1197,train,train,train,train,valid
4389,train,train,train,train,valid
1965,train,train,train,train,valid
2266,train,train,valid,train,train
756,train,train,valid,train,train
5998,train,valid,train,train,train
828,valid,train,train,train,train
3546,train,train,valid,train,train
9710,train,train,train,valid,train
3284,train,train,valid,train,train
8756,train,train,valid,train,train
7313,train,train,train,valid,train
991,valid,train,train,train,train
3512,train,train,valid,train,train
9270,train,train,train,valid,train
6652,train,train,train,train,valid
3483,train,valid,train,train,train
3876,train,train,valid,train,train
72,train,train,valid,train,train
2792,train,train,valid,train,train
2049,train,train,train,valid,train
3481,train,valid,train,train,train
9962,train,train,train,valid,train
6430,valid,train,train,train,train
7789,train,train,train,valid,train
6146,train,valid,train,train,train
1301,train,valid,train,train,train
4003,valid,train,train,train,train
5118,train,train,train,train,valid
1037,valid,train,train,train,train
7154,train,train,train,train,valid
6050,train,train,train,valid,train
9501,train,train,valid,train,train
995,train,train,valid,train,train
6827,train,train,valid,train,train
2811,train,train,train,train,valid
122,train,train,train,valid,train
6283,train,valid,train,train,train
4536,valid,train,train,train,train
705,train,valid,train,train,train
7079,train,train,train,train,valid
5465,valid,train,train,train,train
4783,train,train,train,train,valid
9860,valid,train,train,train,train
9327,train,train,valid,train,train
7211,train,train,train,valid,train
9930,train,train,train,valid,train
2863,train,valid,train,train,train
7444,valid,train,train,train,train
9272,train,train,train,train,valid
9293,train,train,train,train,valid
3247,train,train,train,train,valid
9229,train,valid,train,train,train
6300,train,train,train,valid,train
4698,train,valid,train,train,train
2347,valid,train,train,train,train
1205,train,train,valid,train,train
1759,train,valid,train,train,train
5813,valid,train,train,train,train
7685,train,train,train,train,valid
9673,train,train,train,valid,train
9943,valid,train,train,train,train
7245,train,valid,train,train,train
4035,train,train,train,train,valid
5810,train,train,valid,train,train
2420,train,valid,train,train,train
5563,train,train,train,valid,train
9993,train,valid,train,train,train
8937,train,train,valid,train,train
8948,train,train,train,valid,train
9038,train,train,train,train,valid
5497,valid,train,train,train,train
7963,train,train,train,valid,train
850,valid,train,train,train,train
3947,valid,train,train,train,train
9490,valid,train,train,train,train
866,valid,train,train,train,train
4165,valid,train,train,train,train
6507,train,valid,train,train,train
9129,train,train,train,valid,train
5915,valid,train,train,train,train
5105,train,train,valid,train,train
1540,train,train,valid,train,train
266,train,train,train,train,valid
3778,train,train,train,train,valid
1291,train,train,train,train,valid
4614,valid,train,train,train,train
7835,train,train,train,valid,train
4765,train,train,valid,train,train
3958,train,valid,train,train,train
5296,valid,train,train,train,train
3201,train,train,valid,train,train
4619,train,train,valid,train,train
8414,train,train,valid,train,train
8110,train,train,train,train,valid
4628,valid,train,train,train,train
8858,train,train,valid,train,train
3662,train,train,train,valid,train
9007,train,valid,train,train,train
4718,train,train,train,valid,train
4798,train,train,train,valid,train
4072,valid,train,train,train,train
4462,train,valid,train,train,train
5354,train,train,train,valid,train
6834,valid,train,train,train,train
1040,train,valid,train,train,train
6080,train,valid,train,train,train
6867,valid,train,train,train,train
1491,train,train,train,valid,train
5373,train,train,train,valid,train
5972,train,valid,train,train,train
7159,train,train,train,train,valid
2864,valid,train,train,train,train
2890,train,train,train,train,valid
5581,train,train,valid,train,train
1508,train,train,valid,train,train
4235,train,train,train,valid,train
8248,train,train,valid,train,train
1867,train,valid,train,train,train
2821,train,train,train,train,valid
3899,train,train,train,valid,train
3171,valid,train,train,train,train
9241,train,valid,train,train,train
3998,valid,train,train,train,train
3222,train,train,train,train,valid
7690,valid,train,train,train,train
4082,train,valid,train,train,train
1577,train,train,valid,train,train
7495,valid,train,train,train,train
2385,train,train,train,train,valid
2467,train,train,train,valid,train
3985,train,train,train,train,valid
1646,train,valid,train,train,train
7421,train,valid,train,train,train
2564,valid,train,train,train,train
7596,train,train,train,valid,train
9092,train,train,train,valid,train
5609,train,train,train,train,valid
9406,train,train,train,valid,train
9566,valid,train,train,train,train
6591,train,train,train,train,valid
4986,train,train,train,train,valid
3414,valid,train,train,train,train
7390,train,train,train,valid,train
4237,train,train,train,train,valid
4020,train,train,valid,train,train
4023,train,train,valid,train,train
3950,train,train,train,valid,train
4000,train,train,valid,train,train
1178,train,train,train,train,valid
8819,train,valid,train,train,train
8505,train,train,train,valid,train
2460,train,train,train,valid,train
3184,train,train,train,valid,train
6716,train,train,valid,train,train
351,train,train,train,valid,train
6940,valid,train,train,train,train
8086,train,train,train,train,valid
6157,train,train,train,valid,train
198,train,valid,train,train,train
6773,train,valid,train,train,train
3837,valid,train,train,train,train
4225,train,train,train,valid,train
1092,valid,train,train,train,train
8463,train,train,valid,train,train
6170,train,train,train,valid,train
1494,train,train,valid,train,train
4954,train,train,train,valid,train
4615,train,train,valid,train,train
6332,train,valid,train,train,train
4033,train,valid,train,train,train
4202,train,train,train,valid,train
8146,train,valid,train,train,train
7664,train,valid,train,train,train
564,train,train,valid,train,train
9313,valid,train,train,train,train
6946,train,train,valid,train,train
3895,train,train,train,valid,train
7795,train,train,train,train,valid
6934,train,train,train,valid,train
2469,train,train,train,valid,train
6145,train,train,train,valid,train
2374,train,train,valid,train,train
6670,train,train,train,valid,train
4770,train,train,train,train,valid
8475,train,valid,train,train,train
4927,train,train,train,valid,train
2453,train,train,valid,train,train
3507,train,train,train,train,valid
1106,train,train,valid,train,train
3008,train,train,train,train,valid
8064,train,train,train,train,valid
449,valid,train,train,train,train
2300,train,train,train,valid,train
3119,valid,train,train,train,train
1228,train,train,train,valid,train
3195,train,train,train,valid,train
4845,train,train,train,train,valid
1097,train,train,train,train,valid
206,train,valid,train,train,train
7212,train,train,train,train,valid
4499,valid,train,train,train,train
4832,train,train,train,train,valid
8090,train,train,train,train,valid
2109,train,valid,train,train,train
3471,train,train,train,train,valid
8155,train,train,valid,train,train
5630,valid,train,train,train,train
9494,valid,train,train,train,train
946,train,valid,train,train,train
2803,train,valid,train,train,train
9332,valid,train,train,train,train
3364,train,train,train,valid,train
6797,train,train,train,valid,train
2381,train,train,train,valid,train
4379,train,train,train,valid,train
3486,train,train,valid,train,train
1704,train,valid,train,train,train
3808,train,train,valid,train,train
6754,train,train,valid,train,train
8990,train,train,valid,train,train
1601,train,train,valid,train,train
5360,train,train,train,train,valid
2041,train,train,valid,train,train
2635,train,valid,train,train,train
5299,train,valid,train,train,train
5290,train,valid,train,train,train
1460,train,valid,train,train,train
2659,train,train,train,train,valid
8659,train,train,train,valid,train
5253,train,train,train,train,valid
9359,valid,train,train,train,train
2458,valid,train,train,train,train
4005,train,train,train,valid,train
1236,train,train,train,valid,train
8955,train,train,train,valid,train
2199,train,valid,train,train,train
4994,train,train,train,valid,train
4533,valid,train,train,train,train
8830,train,valid,train,train,train
9639,train,train,valid,train,train
259,train,valid,train,train,train
848,train,train,valid,train,train
7435,valid,train,train,train,train
45,train,valid,train,train,train
2237,train,train,train,train,valid
8927,train,train,train,train,valid
7411,train,train,train,train,valid
7909,train,train,train,train,valid
1030,train,valid,train,train,train
9895,valid,train,train,train,train
864,valid,train,train,train,train
9072,valid,train,train,train,train
9027,train,train,train,train,valid
2770,valid,train,train,train,train
8316,train,valid,train,train,train
3644,valid,train,train,train,train
3337,train,valid,train,train,train
9119,train,train,train,train,valid
822,train,train,train,valid,train
1695,valid,train,train,train,train
9502,train,valid,train,train,train
5410,valid,train,train,train,train
6881,train,train,valid,train,train
2608,valid,train,train,train,train
6583,train,train,train,train,valid
7165,valid,train,train,train,train
7284,train,train,train,valid,train
3909,valid,train,train,train,train
4223,train,train,train,train,valid
7168,train,train,valid,train,train
8962,valid,train,train,train,train
5257,train,train,valid,train,train
7674,train,train,train,valid,train
2239,train,valid,train,train,train
997,train,train,train,valid,train
6467,train,train,train,train,valid
9986,train,train,train,train,valid
3651,train,train,train,valid,train
2333,train,train,train,train,valid
160,train,train,train,train,valid
9302,train,valid,train,train,train
4933,train,train,train,train,valid
6369,train,train,train,valid,train
9125,valid,train,train,train,train
6829,train,valid,train,train,train
1565,valid,train,train,train,train
884,train,train,train,train,valid
7235,train,train,train,valid,train
9189,train,train,train,valid,train
6899,train,valid,train,train,train
3634,train,valid,train,train,train
7744,valid,train,train,train,train
8613,train,train,train,valid,train
3653,train,train,train,valid,train
8624,train,train,valid,train,train
5333,train,valid,train,train,train
5067,train,valid,train,train,train
2850,train,valid,train,train,train
674,train,valid,train,train,train
5156,train,train,train,train,valid
4976,train,train,train,train,valid
4719,valid,train,train,train,train
2626,train,valid,train,train,train
5938,train,train,valid,train,train
3001,valid,train,train,train,train
5783,train,train,train,train,valid
2409,train,train,valid,train,train
9751,train,train,train,valid,train
5262,train,train,train,valid,train
1711,train,valid,train,train,train
2247,train,train,train,valid,train
4183,train,train,train,valid,train
824,train,valid,train,train,train
2676,train,train,train,valid,train
9592,train,train,train,train,valid
5187,train,valid,train,train,train
4974,valid,train,train,train,train
7932,train,valid,train,train,train
2652,valid,train,train,train,train
6026,train,train,train,valid,train
3905,valid,train,train,train,train
5471,train,valid,train,train,train
6506,train,train,valid,train,train
6613,train,valid,train,train,train
9231,train,valid,train,train,train
5018,train,train,valid,train,train
7178,valid,train,train,train,train
2303,train,train,valid,train,train
6675,train,train,train,train,valid
9861,train,train,train,train,valid
8100,train,train,valid,train,train
401,valid,train,train,train,train
2879,valid,train,train,train,train
2749,valid,train,train,train,train
9370,valid,train,train,train,train
3377,train,train,train,train,valid
534,valid,train,train,train,train
6419,train,valid,train,train,train
3836,train,valid,train,train,train
4640,train,train,train,train,valid
6020,train,valid,train,train,train
7651,train,valid,train,train,train
9763,train,valid,train,train,train
745,valid,train,train,train,train
7947,valid,train,train,train,train
8456,valid,train,train,train,train
3767,train,train,valid,train,train
3827,train,train,valid,train,train
9836,valid,train,train,train,train
7088,train,train,train,valid,train
3659,valid,train,train,train,train
890,train,train,train,valid,train
8154,valid,train,train,train,train
1941,train,valid,train,train,train
4888,train,valid,train,train,train
6664,train,train,train,train,valid
945,train,train,valid,train,train
1011,train,train,train,train,valid
7365,train,valid,train,train,train
1870,train,valid,train,train,train
9296,train,train,valid,train,train
5510,train,train,train,train,valid
8917,train,train,train,train,valid
9556,valid,train,train,train,train
6693,valid,train,train,train,train
9594,train,train,train,train,valid
7491,train,train,train,valid,train
2021,valid,train,train,train,train
4668,valid,train,train,train,train
9846,train,valid,train,train,train
8502,valid,train,train,train,train
4751,train,train,train,train,valid
9416,train,train,valid,train,train
779,train,train,train,train,valid
3354,train,train,train,valid,train
2284,train,train,valid,train,train
4176,train,train,train,valid,train
4572,valid,train,train,train,train
9865,train,train,valid,train,train
5610,train,train,train,valid,train
414,train,train,valid,train,train
3691,train,train,train,valid,train
4998,train,valid,train,train,train
3862,train,train,valid,train,train
1598,train,train,train,train,valid
4898,train,train,valid,train,train
1073,train,train,train,valid,train
6542,train,train,train,train,valid
3809,train,train,train,valid,train
6432,train,train,valid,train,train
6044,train,train,train,train,valid
2277,train,train,train,valid,train
4344,train,train,train,valid,train
7015,train,train,train,valid,train
4317,valid,train,train,train,train
3480,train,train,train,valid,train
9420,train,valid,train,train,train
9955,train,train,train,valid,train
5784,valid,train,train,train,train
374,train,train,train,valid,train
5424,train,train,valid,train,train
7157,train,valid,train,train,train
9505,train,train,valid,train,train
108,train,train,valid,train,train
8759,train,valid,train,train,train
7141,train,valid,train,train,train
8016,train,train,train,valid,train
194,train,train,train,valid,train
1531,train,train,valid,train,train
8395,train,valid,train,train,train
2175,train,train,valid,train,train
290,train,train,train,train,valid
2462,train,train,train,train,valid
8853,valid,train,train,train,train
4283,train,train,train,valid,train
3244,train,valid,train,train,train
8687,train,valid,train,train,train
9604,valid,train,train,train,train
4664,train,train,train,train,valid
8755,train,train,train,train,valid
2764,train,train,valid,train,train
8411,valid,train,train,train,train
3541,train,train,train,valid,train
3843,valid,train,train,train,train
2353,train,train,train,train,valid
6197,train,valid,train,train,train
6416,train,train,train,valid,train
1762,valid,train,train,train,train
5928,train,train,train,train,valid
4420,train,valid,train,train,train
5848,valid,train,train,train,train
6969,train,train,train,train,valid
3720,train,train,train,valid,train
580,train,train,train,valid,train
7514,train,valid,train,train,train
2093,train,train,train,valid,train
7960,train,train,valid,train,train
1263,train,train,valid,train,train
608,train,train,valid,train,train
1785,train,train,train,valid,train
1140,train,train,train,train,valid
245,train,train,train,valid,train
1343,valid,train,train,train,train
8608,train,train,valid,train,train
8347,train,valid,train,train,train
3850,train,train,train,valid,train
4088,valid,train,train,train,train
9820,train,train,train,train,valid
9682,train,train,train,valid,train
191,train,train,train,valid,train
6987,valid,train,train,train,train
7603,train,train,train,train,valid
6033,train,train,train,train,valid
2343,valid,train,train,train,train
192,train,valid,train,train,train
4696,train,valid,train,train,train
2623,train,train,valid,train,train
9655,valid,train,train,train,train
9496,train,train,valid,train,train
3129,valid,train,train,train,train
9152,valid,train,train,train,train
1855,train,train,train,valid,train
258,train,train,train,train,valid
410,train,train,train,valid,train
9722,train,valid,train,train,train
2574,train,valid,train,train,train
7062,train,train,valid,train,train
1604,train,train,train,train,valid
7991,train,train,valid,train,train
8738,train,train,train,valid,train
7637,train,valid,train,train,train
26,train,train,train,train,valid
3661,valid,train,train,train,train
3261,train,valid,train,train,train
9175,train,train,valid,train,train
9916,train,train,train,train,valid
9337,train,train,train,train,valid
7123,train,train,valid,train,train
1658,train,train,train,valid,train
4416,train,train,train,valid,train
1914,train,train,train,valid,train
846,train,train,valid,train,train
4425,valid,train,train,train,train
8050,train,train,train,valid,train
6552,train,train,valid,train,train
6725,train,train,train,train,valid
6762,train,train,valid,train,train
7188,train,train,train,valid,train
2465,train,train,valid,train,train
9941,train,valid,train,train,train
4794,train,train,train,valid,train
5490,train,train,valid,train,train
5163,valid,train,train,train,train
9580,valid,train,train,train,train
8187,train,valid,train,train,train
7695,valid,train,train,train,train
2549,valid,train,train,train,train
7837,train,train,train,train,valid
4368,valid,train,train,train,train
565,train,train,valid,train,train
4985,train,train,valid,train,train
7600,train,valid,train,train,train
5508,train,train,valid,train,train
1159,train,valid,train,train,train
6356,train,train,valid,train,train
787,train,valid,train,train,train
6541,valid,train,train,train,train
8915,train,train,train,train,valid
5155,train,train,train,train,valid
3625,train,valid,train,train,train
9499,train,train,train,train,valid
1612,train,valid,train,train,train
670,train,train,train,train,valid
3286,train,train,train,train,valid
1995,train,valid,train,train,train
3714,train,train,train,train,valid
8104,train,valid,train,train,train
5182,train,train,train,train,valid
9759,train,valid,train,train,train
2936,train,train,train,train,valid
381,train,train,train,valid,train
4617,train,train,train,valid,train
8257,train,train,valid,train,train
9760,train,train,train,train,valid
9719,train,valid,train,train,train
322,train,train,train,valid,train
5481,train,valid,train,train,train
9866,train,train,valid,train,train
6241,valid,train,train,train,train
2179,train,train,train,valid,train
9213,train,valid,train,train,train
2496,train,valid,train,train,train
179,train,train,train,valid,train
4826,train,valid,train,train,train
8162,train,valid,train,train,train
6526,train,train,train,valid,train
3648,valid,train,train,train,train
9314,train,train,train,valid,train
8612,train,train,valid,train,train
4215,train,train,train,valid,train
1662,train,train,train,train,valid
8237,train,train,train,valid,train
1359,train,train,train,train,valid
6309,train,train,train,valid,train
2518,train,train,train,train,valid
6271,train,train,train,train,valid
8113,train,valid,train,train,train
6654,train,valid,train,train,train
4648,train,train,train,valid,train
6193,train,train,train,valid,train
6735,train,train,valid,train,train
2830,train,valid,train,train,train
3390,train,train,train,valid,train
2715,train,valid,train,train,train
2362,train,train,train,train,valid
7979,train,train,train,train,valid
9992,train,train,train,valid,train
4213,train,train,valid,train,train
1871,valid,train,train,train,train
2526,valid,train,train,train,train
9212,train,train,train,train,valid
3232,train,train,train,train,valid
7760,train,train,train,train,valid
3365,train,train,valid,train,train
141,train,train,train,train,valid
9586,valid,train,train,train,train
6747,train,train,train,valid,train
4548,train,train,train,valid,train
6069,train,valid,train,train,train
1333,train,train,train,valid,train
4647,train,train,train,valid,train
3936,train,train,train,valid,train
9468,train,train,train,train,valid
533,valid,train,train,train,train
7254,train,train,valid,train,train
7095,valid,train,train,train,train
7533,train,train,train,valid,train
2252,train,train,train,train,valid
8949,train,train,train,valid,train
4300,train,train,valid,train,train
7936,train,valid,train,train,train
8876,train,valid,train,train,train
7809,train,train,train,train,valid
4422,train,train,train,valid,train
8355,valid,train,train,train,train
2527,train,train,train,valid,train
9824,train,train,train,train,valid
3338,train,train,train,train,valid
5518,train,valid,train,train,train
8534,valid,train,train,train,train
8892,train,train,train,valid,train
3870,valid,train,train,train,train
5646,train,train,train,train,valid
7660,train,valid,train,train,train
